#
# Transition date estimate for bartlettir
#
# Site: bartlettir
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2008
# Year max: 2016
# Final Processing Date: 2024-04-05
# Final Processing Time: 09:38:11
# Spline RMSE gcc_mean: 0.00365
# Spline RMSE gcc_50: 0.0038
# Spline RMSE gcc_75: 0.00345
# Spline RMSE gcc_90: 0.00359
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
bartlettir,DB,1000,rising,gcc_90,2008-05-03,2008-05-06,2008-05-12,2008-05-02,2008-05-05,2008-05-10,2008-05-05,2008-05-08,2008-05-13,0.37842,0.39194,0.4267,0.37025,0.4758
bartlettir,DB,1000,rising,gcc_90,2009-04-29,2009-05-03,2009-05-09,2009-04-21,2009-05-02,2009-05-08,2009-05-01,2009-05-05,2009-05-10,0.37601,0.38894,0.41979,0.36614,0.47202
bartlettir,DB,1000,rising,gcc_90,2010-04-24,2010-04-27,2010-05-02,2010-04-23,2010-04-26,2010-05-01,2010-04-26,2010-04-29,2010-05-03,0.3773,0.39163,0.42474,0.3687,0.47822
bartlettir,DB,1000,rising,gcc_90,2011-05-05,2011-05-09,2011-05-13,2011-05-03,2011-05-08,2011-05-12,2011-05-07,2011-05-10,2011-05-14,0.37717,0.39405,0.42333,0.36696,0.47757
bartlettir,DB,1000,rising,gcc_90,2012-04-24,2012-05-02,2012-05-09,2012-04-14,2012-05-01,2012-05-07,2012-04-29,2012-05-04,2012-05-10,0.37623,0.39091,0.4262,0.36537,0.47723
bartlettir,DB,1000,rising,gcc_90,2013-04-29,2013-05-03,2013-05-08,2013-04-28,2013-05-02,2013-05-06,2013-05-02,2013-05-05,2013-05-09,0.37486,0.39063,0.42816,0.36578,0.48229
bartlettir,DB,1000,rising,gcc_90,2014-05-08,2014-05-11,2014-05-16,2014-05-07,2014-05-10,2014-05-14,2014-05-10,2014-05-12,2014-05-17,0.3785,0.39525,0.43344,0.36895,0.48687
bartlettir,DB,1000,rising,gcc_90,2015-05-03,2015-05-06,2015-05-10,2015-05-02,2015-05-05,2015-05-09,2015-05-05,2015-05-07,2015-05-11,0.38241,0.39826,0.43282,0.37201,0.48685
bartlettir,DB,1000,rising,gcc_90,2016-05-08,2016-05-12,2016-05-17,2016-05-07,2016-05-11,2016-05-15,2016-05-10,2016-05-13,2016-05-18,0.3824,0.40047,0.43623,0.37278,0.48695
bartlettir,DB,1000,rising,gcc_75,2008-05-04,2008-05-07,2008-05-12,2008-05-03,2008-05-06,2008-05-11,2008-05-06,2008-05-09,2008-05-13,0.37796,0.39162,0.4221,0.36816,0.47322
bartlettir,DB,1000,rising,gcc_75,2009-04-29,2009-05-04,2009-05-10,2009-04-27,2009-05-03,2009-05-08,2009-05-01,2009-05-06,2009-05-11,0.37334,0.39062,0.42119,0.36447,0.46911
bartlettir,DB,1000,rising,gcc_75,2010-04-24,2010-04-28,2010-05-03,2010-04-23,2010-04-27,2010-05-01,2010-04-26,2010-04-29,2010-05-04,0.37482,0.39312,0.42879,0.36682,0.4749
bartlettir,DB,1000,rising,gcc_75,2011-05-05,2011-05-09,2011-05-13,2011-05-04,2011-05-08,2011-05-12,2011-05-08,2011-05-10,2011-05-14,0.37266,0.38896,0.41853,0.36486,0.47146
bartlettir,DB,1000,rising,gcc_75,2012-04-24,2012-05-02,2012-05-09,2012-04-14,2012-05-01,2012-05-07,2012-04-29,2012-05-04,2012-05-10,0.37464,0.38761,0.42206,0.36378,0.47313
bartlettir,DB,1000,rising,gcc_75,2013-04-30,2013-05-03,2013-05-08,2013-04-28,2013-05-02,2013-05-07,2013-05-02,2013-05-05,2013-05-09,0.37456,0.38661,0.42255,0.3646,0.47615
bartlettir,DB,1000,rising,gcc_75,2014-05-08,2014-05-11,2014-05-16,2014-05-07,2014-05-10,2014-05-15,2014-05-10,2014-05-13,2014-05-17,0.37535,0.39097,0.42776,0.36746,0.48285
bartlettir,DB,1000,rising,gcc_75,2015-05-03,2015-05-06,2015-05-10,2015-05-02,2015-05-05,2015-05-09,2015-05-05,2015-05-08,2015-05-11,0.38002,0.39461,0.4266,0.37005,0.48219
bartlettir,DB,1000,rising,gcc_75,2016-05-08,2016-05-12,2016-05-17,2016-05-07,2016-05-11,2016-05-15,2016-05-10,2016-05-13,2016-05-18,0.37883,0.39663,0.43227,0.37047,0.48377
bartlettir,DB,1000,rising,gcc_50,2008-05-04,2008-05-07,2008-05-12,2008-05-03,2008-05-06,2008-05-11,2008-05-06,2008-05-09,2008-05-13,0.37197,0.38575,0.41696,0.36457,0.46906
bartlettir,DB,1000,rising,gcc_50,2009-04-29,2009-05-04,2009-05-11,2009-04-24,2009-05-03,2009-05-09,2009-05-02,2009-05-06,2009-05-12,0.37087,0.38456,0.41775,0.36134,0.46529
bartlettir,DB,1000,rising,gcc_50,2010-04-24,2010-04-27,2010-05-02,2010-04-22,2010-04-26,2010-05-01,2010-04-26,2010-04-29,2010-05-03,0.37356,0.38661,0.41884,0.36352,0.47181
bartlettir,DB,1000,rising,gcc_50,2011-05-06,2011-05-09,2011-05-13,2011-05-05,2011-05-08,2011-05-12,2011-05-08,2011-05-11,2011-05-14,0.36928,0.38362,0.41345,0.36155,0.46484
bartlettir,DB,1000,rising,gcc_50,2012-04-17,2012-05-02,2012-05-09,2012-04-14,2012-05-01,2012-05-07,2012-04-28,2012-05-04,2012-05-10,0.3694,0.3828,0.41636,0.35857,0.46988
bartlettir,DB,1000,rising,gcc_50,2013-04-30,2013-05-03,2013-05-08,2013-04-29,2013-05-02,2013-05-06,2013-05-02,2013-05-05,2013-05-09,0.36965,0.38224,0.41795,0.36025,0.47069
bartlettir,DB,1000,rising,gcc_50,2014-05-09,2014-05-11,2014-05-16,2014-05-08,2014-05-10,2014-05-15,2014-05-10,2014-05-13,2014-05-17,0.37488,0.38634,0.42301,0.36414,0.47921
bartlettir,DB,1000,rising,gcc_50,2015-05-03,2015-05-06,2015-05-10,2015-05-02,2015-05-05,2015-05-09,2015-05-05,2015-05-08,2015-05-11,0.37713,0.39129,0.42265,0.36776,0.47577
bartlettir,DB,1000,rising,gcc_50,2016-05-09,2016-05-12,2016-05-17,2016-05-08,2016-05-11,2016-05-16,2016-05-11,2016-05-14,2016-05-18,0.37742,0.3919,0.42743,0.36766,0.4811
bartlettir,DB,1000,rising,gcc_mean,2008-05-04,2008-05-07,2008-05-12,2008-05-03,2008-05-06,2008-05-11,2008-05-06,2008-05-09,2008-05-13,0.3724,0.38636,0.41695,0.36408,0.46864
bartlettir,DB,1000,rising,gcc_mean,2009-04-29,2009-05-04,2009-05-10,2009-04-15,2009-05-03,2009-05-08,2009-05-01,2009-05-06,2009-05-11,0.3704,0.3847,0.41387,0.36074,0.46244
bartlettir,DB,1000,rising,gcc_mean,2010-04-24,2010-04-27,2010-05-02,2010-04-22,2010-04-26,2010-05-01,2010-04-26,2010-04-29,2010-05-03,0.37289,0.38701,0.41867,0.36291,0.47143
bartlettir,DB,1000,rising,gcc_mean,2011-05-06,2011-05-09,2011-05-14,2011-05-05,2011-05-08,2011-05-12,2011-05-08,2011-05-11,2011-05-15,0.36978,0.38326,0.4184,0.36111,0.46531
bartlettir,DB,1000,rising,gcc_mean,2012-04-18,2012-05-03,2012-05-09,2012-04-15,2012-05-02,2012-05-07,2012-04-29,2012-05-04,2012-05-10,0.36949,0.38606,0.41578,0.35929,0.46825
bartlettir,DB,1000,rising,gcc_mean,2013-04-30,2013-05-03,2013-05-08,2013-04-29,2013-05-02,2013-05-07,2013-05-02,2013-05-05,2013-05-09,0.36979,0.38224,0.41779,0.36053,0.47237
bartlettir,DB,1000,rising,gcc_mean,2014-05-08,2014-05-11,2014-05-16,2014-05-07,2014-05-10,2014-05-15,2014-05-10,2014-05-13,2014-05-17,0.37088,0.38626,0.422,0.36277,0.47746
bartlettir,DB,1000,rising,gcc_mean,2015-05-03,2015-05-06,2015-05-11,2015-05-02,2015-05-05,2015-05-09,2015-05-05,2015-05-08,2015-05-12,0.37522,0.38948,0.42805,0.3661,0.47628
bartlettir,DB,1000,rising,gcc_mean,2016-05-09,2016-05-12,2016-05-17,2016-05-08,2016-05-11,2016-05-16,2016-05-11,2016-05-14,2016-05-18,0.3764,0.39076,0.42549,0.36603,0.47946
bartlettir,DB,1000,falling,gcc_90,2016-10-06,2016-10-01,2016-09-23,2016-10-08,2016-10-02,2016-09-26,2016-10-03,2016-09-29,2016-09-22,0.39122,0.4067,0.43262,0.38305,0.47875
bartlettir,DB,1000,falling,gcc_90,2015-10-10,2015-10-06,2015-09-29,2015-10-12,2015-10-07,2015-10-01,2015-10-08,2015-10-04,2015-09-27,0.38313,0.39788,0.42767,0.37257,0.4817
bartlettir,DB,1000,falling,gcc_90,2014-09-26,2014-09-23,2014-09-17,2014-09-28,2014-09-24,2014-09-19,2014-09-24,2014-09-21,2014-09-15,0.40645,0.41795,0.44383,0.39833,0.48632
bartlettir,DB,1000,falling,gcc_90,2013-10-02,2013-09-27,2013-09-20,2013-10-04,2013-09-28,2013-09-22,2013-09-29,2013-09-25,2013-09-18,0.38652,0.40101,0.42871,0.37847,0.47692
bartlettir,DB,1000,falling,gcc_90,2012-10-02,2012-09-26,2012-09-18,2012-10-13,2012-09-27,2012-09-20,2012-09-28,2012-09-24,2012-09-17,0.37543,0.38933,0.41901,0.36643,0.46809
bartlettir,DB,1000,falling,gcc_90,2011-10-07,2011-09-30,2011-09-19,2011-10-09,2011-10-02,2011-09-22,2011-10-04,2011-09-27,2011-09-18,0.3873,0.40067,0.42729,0.37891,0.47077
bartlettir,DB,1000,falling,gcc_90,2010-10-07,2010-09-30,2010-09-21,2010-10-08,2010-10-02,2010-09-24,2010-10-04,2010-09-27,2010-09-20,0.38735,0.40146,0.42889,0.38037,0.4725
bartlettir,DB,1000,falling,gcc_90,2009-10-04,2009-09-30,2009-09-23,2009-10-06,2009-10-01,2009-09-25,2009-10-02,2009-09-28,2009-09-22,0.37412,0.38827,0.41747,0.36367,0.46904
bartlettir,DB,1000,falling,gcc_90,2008-09-30,2008-09-26,2008-09-21,2008-10-02,2008-09-27,2008-09-22,2008-09-28,2008-09-24,2008-09-20,0.37809,0.392,0.42007,0.36963,0.46742
bartlettir,DB,1000,falling,gcc_75,2016-10-07,2016-10-02,2016-09-24,2016-10-10,2016-10-03,2016-09-27,2016-10-04,2016-09-30,2016-09-23,0.38739,0.40059,0.42817,0.37796,0.4745
bartlettir,DB,1000,falling,gcc_75,2015-10-10,2015-10-06,2015-09-29,2015-10-11,2015-10-07,2015-10-01,2015-10-08,2015-10-04,2015-09-27,0.37991,0.3943,0.42455,0.37086,0.47795
bartlettir,DB,1000,falling,gcc_75,2014-09-26,2014-09-23,2014-09-17,2014-09-28,2014-09-24,2014-09-19,2014-09-24,2014-09-21,2014-09-16,0.40303,0.41456,0.44053,0.39571,0.48002
bartlettir,DB,1000,falling,gcc_75,2013-10-01,2013-09-27,2013-09-20,2013-10-03,2013-09-28,2013-09-22,2013-09-28,2013-09-25,2013-09-19,0.38438,0.39634,0.42601,0.37626,0.47243
bartlettir,DB,1000,falling,gcc_75,2012-10-01,2012-09-26,2012-09-18,2012-10-14,2012-09-27,2012-09-20,2012-09-28,2012-09-24,2012-09-17,0.37409,0.3861,0.41551,0.3649,0.46483
bartlettir,DB,1000,falling,gcc_75,2011-10-08,2011-10-01,2011-09-19,2011-10-09,2011-10-03,2011-09-22,2011-10-05,2011-09-28,2011-09-18,0.38062,0.39658,0.42285,0.37379,0.46713
bartlettir,DB,1000,falling,gcc_75,2010-10-05,2010-09-27,2010-09-20,2010-10-07,2010-09-29,2010-09-22,2010-10-01,2010-09-25,2010-09-18,0.38987,0.4028,0.42621,0.38169,0.46801
bartlettir,DB,1000,falling,gcc_75,2009-10-04,2009-09-30,2009-09-23,2009-10-06,2009-10-01,2009-09-25,2009-10-02,2009-09-28,2009-09-22,0.37189,0.386,0.41585,0.36244,0.46756
bartlettir,DB,1000,falling,gcc_75,2008-09-30,2008-09-26,2008-09-20,2008-10-02,2008-09-27,2008-09-22,2008-09-28,2008-09-24,2008-09-19,0.3768,0.39044,0.42389,0.36808,0.46985
bartlettir,DB,1000,falling,gcc_50,2016-10-06,2016-10-01,2016-09-23,2016-10-08,2016-10-02,2016-09-26,2016-10-03,2016-09-29,2016-09-22,0.38365,0.39925,0.4263,0.37547,0.47203
bartlettir,DB,1000,falling,gcc_50,2015-10-10,2015-10-06,2015-09-27,2015-10-12,2015-10-07,2015-09-30,2015-10-08,2015-10-04,2015-09-26,0.37607,0.3889,0.42274,0.36582,0.47407
bartlettir,DB,1000,falling,gcc_50,2014-09-25,2014-09-22,2014-09-17,2014-09-27,2014-09-23,2014-09-19,2014-09-23,2014-09-21,2014-09-16,0.39967,0.41286,0.43528,0.39249,0.47505
bartlettir,DB,1000,falling,gcc_50,2013-10-01,2013-09-27,2013-09-20,2013-10-04,2013-09-28,2013-09-22,2013-09-28,2013-09-25,2013-09-18,0.38044,0.39218,0.41964,0.37153,0.46614
bartlettir,DB,1000,falling,gcc_50,2012-09-28,2012-09-25,2012-09-17,2012-09-29,2012-09-26,2012-09-19,2012-09-26,2012-09-23,2012-09-16,0.37437,0.38615,0.41562,0.36761,0.45941
bartlettir,DB,1000,falling,gcc_50,2011-10-08,2011-10-02,2011-09-20,2011-10-09,2011-10-05,2011-09-22,2011-10-06,2011-09-28,2011-09-18,0.37501,0.38984,0.41415,0.36691,0.46139
bartlettir,DB,1000,falling,gcc_50,2010-10-04,2010-09-26,2010-09-20,2010-10-07,2010-09-27,2010-09-22,2010-09-28,2010-09-24,2010-09-18,0.3859,0.39729,0.42076,0.37763,0.46266
bartlettir,DB,1000,falling,gcc_50,2009-10-04,2009-09-30,2009-09-23,2009-10-06,2009-10-01,2009-09-25,2009-10-02,2009-09-28,2009-09-22,0.36781,0.38227,0.41358,0.35879,0.46246
bartlettir,DB,1000,falling,gcc_50,2008-09-30,2008-09-26,2008-09-20,2008-10-02,2008-09-27,2008-09-22,2008-09-28,2008-09-24,2008-09-19,0.37453,0.38839,0.41806,0.36561,0.46612
bartlettir,DB,1000,falling,gcc_mean,2016-10-06,2016-10-02,2016-09-24,2016-10-08,2016-10-03,2016-09-26,2016-10-03,2016-09-30,2016-09-22,0.38199,0.39354,0.42241,0.37327,0.47079
bartlettir,DB,1000,falling,gcc_mean,2015-10-11,2015-10-06,2015-09-28,2015-10-12,2015-10-07,2015-09-30,2015-10-08,2015-10-04,2015-09-27,0.37157,0.38793,0.41997,0.36291,0.47347
bartlettir,DB,1000,falling,gcc_mean,2014-09-26,2014-09-23,2014-09-17,2014-09-27,2014-09-24,2014-09-19,2014-09-24,2014-09-21,2014-09-16,0.39649,0.40799,0.43483,0.39092,0.47434
bartlettir,DB,1000,falling,gcc_mean,2013-10-02,2013-09-27,2013-09-20,2013-10-04,2013-09-28,2013-09-22,2013-09-29,2013-09-25,2013-09-18,0.37783,0.39202,0.4192,0.36952,0.46724
bartlettir,DB,1000,falling,gcc_mean,2012-10-02,2012-09-26,2012-09-18,2012-10-14,2012-09-27,2012-09-20,2012-09-28,2012-09-24,2012-09-17,0.3681,0.38163,0.41139,0.35911,0.45898
bartlettir,DB,1000,falling,gcc_mean,2011-10-08,2011-10-01,2011-09-20,2011-10-09,2011-10-04,2011-09-22,2011-10-06,2011-09-28,2011-09-18,0.37578,0.39157,0.41494,0.3684,0.46143
bartlettir,DB,1000,falling,gcc_mean,2010-10-04,2010-09-27,2010-09-20,2010-10-06,2010-09-28,2010-09-22,2010-09-29,2010-09-25,2010-09-18,0.38513,0.39579,0.42072,0.37699,0.46419
bartlettir,DB,1000,falling,gcc_mean,2009-10-04,2009-09-30,2009-09-23,2009-10-06,2009-10-01,2009-09-25,2009-10-02,2009-09-28,2009-09-22,0.36681,0.38104,0.41183,0.3578,0.46146
bartlettir,DB,1000,falling,gcc_mean,2008-09-30,2008-09-26,2008-09-20,2008-10-01,2008-09-27,2008-09-22,2008-09-28,2008-09-24,2008-09-19,0.37212,0.38565,0.41691,0.36376,0.46664
